Model,Fit_Time_sec,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_Roc_auc,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_Roc_auc,Embedding
LogisticRegression_df,2.544790744781494,0.732625,0.7325668582854287,0.73275,0.7326584176977877,0.7983097575,0.7323,0.7328121868109841,0.7312,0.7320052057262989,0.79811988,_df
SGDClassifier_df,0.834376335144043,0.6814,0.8460511255246089,0.4435,0.5819446266894108,0.7928524000000001,0.6819,0.8480673555300421,0.4432,0.5821620911598582,0.7906118,_df
LinearSVC_df,0.0613858699798584,0.732425,0.7327158948685857,0.7318,0.7322576610381488,0.798218985,0.7322,0.7326653306613227,0.7312,0.731931931931932,0.79809504,_df
MultinomialNB_df,0.0093083381652832,0.73015,0.7201339072214251,0.7529,0.736152529943779,0.79595437,0.73,0.7204754601226994,0.7516,0.7357086922474549,0.79463224,_df
ComplementNB_df,0.0100698471069335,0.73015,0.7201339072214251,0.7529,0.736152529943779,0.79595437,0.73,0.7204754601226994,0.7516,0.7357086922474549,0.79463224,_df
BernoulliNB_df,0.0109767913818359,0.524975,0.9090909090909092,0.0555,0.1046133546958201,0.5313451525,0.5259,0.9034267912772586,0.058,0.1090020672805863,0.53260802,_df
DecisionTreeClassifier_df,0.2214314937591552,0.995725,0.999848752205697,0.9916,0.9957072925819004,0.9999634325,0.6434,0.6438026474127557,0.642,0.6429000600841178,0.6435011599999999,_df
RandomForestClassifier_df,3.861249923706055,0.9957,0.995848754626388,0.99555,0.9956993549032356,0.99992533375,0.7046,0.711276332094176,0.6888,0.6998577524893315,0.7689891000000001,_df
ExtraTreesClassifier_df,2.3806140422821045,0.995725,0.999848752205697,0.9916,0.9957072925819004,0.9999634325,0.687,0.6909722222222222,0.6766,0.6837105901374293,0.7508499000000001,_df
GradientBoostingClassifier_df,4.225818872451782,0.73805,0.745564266556633,0.72275,0.7339798923530009,0.8141100450000001,0.7305,0.7387611352807126,0.7132,0.7257555713849598,0.80949598,_df
AdaBoostClassifier_df,0.956307888031006,0.729925,0.7293401825345369,0.7312,0.7302689071433922,0.79620424125,0.7239,0.7252061959364313,0.721,0.7230969812456123,0.7936194799999999,_df
MLPClassifier_df,5.948310136795044,0.71435,0.6738865904112923,0.8307,0.7441214672817664,0.7979333,0.7184,0.6780241278121943,0.8318,0.7470810131129872,0.80068944,_df
LogisticRegression_df_cv,1.6790611743927002,0.732545,0.7324168354232965,0.7328188478770858,0.7326174310768143,0.7982600180940288,0.73246,0.7323617522911208,0.7326771876940227,0.7325099385982392,0.7982217015924002,_df_cv
SGDClassifier_df_cv,9.132130146026611,0.59388,0.8413641638518248,0.3747392894097666,0.3791542417835595,0.738907958883719,0.59316,0.8382102385313521,0.3736374256505991,0.3783768355655919,0.7397881707374343,_df_cv
LinearSVC_df_cv,0.757291316986084,0.7325,0.732593061218831,0.732298514912135,0.7324451924590901,0.7981727395046085,0.7325200000000001,0.7326943619310724,0.7321566655591344,0.7324145605542318,0.7981356598026814,_df_cv
MultinomialNB_df_cv,0.1077651977539062,0.7300949999999999,0.7198689256415071,0.7533493455663689,0.736228413575092,0.7956841889653307,0.73026,0.7200088080608504,0.7535549550334758,0.7363972708702132,0.7956641926198564,_df_cv
ComplementNB_df_cv,0.1023221015930175,0.73011,0.7198940798951167,0.7533398419357882,0.7362369348717459,0.7956841889653307,0.7302,0.7198920396417223,0.7536338010163062,0.7363740802163363,0.7956641926198564,_df_cv
BernoulliNB_df_cv,0.1338732242584228,0.52516,0.9078994373916563,0.0560002046305019,0.1054932157891208,0.5315980526406794,0.5251600000000001,0.9077145935670188,0.0560032926029092,0.1054937396559872,0.5315985545188269,_df_cv
DecisionTreeClassifier_df_cv,1.642516851425171,0.99587,0.9998487855220318,0.991889796337574,0.995853362472806,0.9999658129592895,0.64368,0.6446474736769694,0.6403511074881074,0.6424775410817081,0.6445361838757089,_df_cv
RandomForestClassifier_df_cv,60.868730306625366,0.995835,0.9956910762799248,0.9959799496955402,0.995835482718814,0.9999359536747412,0.7001999999999999,0.7065217095426432,0.6849147926694583,0.6955453583921191,0.7683682646614517,_df_cv
ExtraTreesClassifier_df_cv,43.11223793029785,0.99587,0.9998487855220318,0.991889796337574,0.995853362472806,0.9999658129592895,0.6847000000000001,0.6896662139349905,0.6716748132880308,0.6805390242570208,0.7474238736474705,_df_cv
GradientBoostingClassifier_df_cv,32.64738202095032,0.73719,0.7455370795299185,0.7202051706484344,0.7326410812745295,0.8140377591553902,0.7340199999999999,0.7423052494566446,0.7170080356101828,0.7294160846696037,0.8088923093047254,_df_cv
AdaBoostClassifier_df_cv,8.117591142654419,0.72761,0.7302640854880442,0.7220038377140445,0.7260611960850069,0.7979984672110637,0.7262200000000001,0.7288450317880931,0.7208249310368494,0.7247405349764886,0.7956130300622827,_df_cv
