Model,Fit_Time_sec,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_Roc_auc,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_Roc_auc
LogisticRegression,47.847317934036255,0.9972850000000001,0.9969719794252392,0.9976001544001211,0.997285951358837,0.9999180044100846,0.8806799999999999,0.8768475608341786,0.8857509442083173,0.8812747363550246,0.946629528454005
SGDClassifier,10.621294260025024,0.993735,0.992973464948992,0.9945100944789186,0.9937395969088747,0.9992837493661005,0.87286,0.869108348220118,0.8780504229754984,0.8734818172900667,0.9403160425570759
LinearSVC,569.322500705719,1.0,1.0,1.0,1.0,1.0,0.8602399999999999,0.858231454783829,0.8630257042220915,0.8606187922090639,0.9302342153543048
MultinomialNB,0.8397507667541504,0.88209,0.8798039888678952,0.8851009477760379,0.8824437563052658,0.9437609853105456,0.8656200000000001,0.8619903386010501,0.8706464679644877,0.8662883369070986,0.9292830259138961
ComplementNB,0.819190263748169,0.8821100000000002,0.8798315226801003,0.8851110678697172,0.882462521182031,0.9437604530588575,0.8656,0.8619848350066605,0.8706062427030234,0.8662658412093712,0.929283097916908
BernoulliNB,1.1618402004241943,0.88529,0.8769014832765721,0.8964201775492494,0.8865523487019529,0.9490860270733463,0.8693399999999999,0.8604036236433276,0.8817771386371668,0.8709445290680378,0.936032983428379
DecisionTreeClassifier,799.256236076355,1.0,1.0,1.0,1.0,1.0,0.72348,0.7259789935314629,0.7179747817487961,0.7219333613616679,0.7234917246847472
RandomForestClassifier,1484.5686764717102,1.0,1.0,1.0,1.0,1.0,0.8548199999999999,0.85277777805785,0.8577188985750679,0.8552349108184665,0.9291128402091278
ExtraTreesClassifier,1997.196959733963,1.0,1.0,1.0,1.0,1.0,0.8739000000000001,0.8758393649140475,0.8713248290919078,0.8735683609394748,0.9430509817444902
GradientBoostingClassifier,689.7564613819122,0.81523,0.7834765205594124,0.8712389306191373,0.8250286465646821,0.9033044977054179,0.80762,0.7762749228056467,0.8644035710079608,0.8179560032047144,0.8931528182903415
AdaBoostClassifier,166.07311367988586,0.7540549999999999,0.7199441372406422,0.8319268703896092,0.7717935079801315,0.8254261473915376,0.75396,0.7198339791519983,0.832426478704176,0.7718221118229709,0.8245390681944935
MLPClassifier,3274.095648288727,0.999985,1.0,0.9999700054983756,0.9999850023743159,0.9999999984999999,0.87614,0.8728126024762807,0.88058764845717,0.8766788975932794,0.941193358368721
