Model,Fit_Time_sec,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_Roc_auc,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_Roc_auc
LogisticRegression,4.762278318405151,0.997125,0.9970007498125468,0.99725,0.9971253593300837,0.9999135225,0.8806,0.8771304003170829,0.8852,0.8811467250647024,0.94674952
SGDClassifier,0.8478140830993652,0.99285,0.9895698817919937,0.9962,0.9928738725270344,0.9992634925,0.8727,0.8565142529175436,0.8954,0.8755255695707441,0.9393476000000002
LinearSVC,66.56229782104492,1.0,1.0,1.0,1.0,1.0,0.8625,0.8598372046853285,0.8662,0.8630068745641127,0.92974936
MultinomialNB,0.04481148719787598,0.88145,0.8782725109083697,0.88565,0.8819458275243975,0.94365155,0.8668,0.8665067945643485,0.8672,0.8668532586965214,0.9307076
ComplementNB,0.04457449913024902,0.88145,0.8782725109083697,0.88565,0.8819458275243975,0.94365229,0.8668,0.8665067945643485,0.8672,0.8668532586965214,0.9307076
BernoulliNB,0.06885361671447754,0.885425,0.8758960355000731,0.8981,0.8868590613967956,0.94908933,0.8679,0.8620350324739224,0.876,0.868961412558278,0.9366718
DecisionTreeClassifier,108.11008882522583,1.0,1.0,1.0,1.0,1.0,0.7306,0.7313402889245586,0.729,0.7301682692307693,0.7306
RandomForestClassifier,82.98378801345825,1.0,1.0,1.0,1.0,1.0,0.8556,0.8590468497576736,0.8508,0.854903536977492,0.93074066
ExtraTreesClassifier,113.97997117042542,1.0,1.0,1.0,1.0,1.0,0.8734,0.8782414910858996,0.867,0.8725845410628019,0.94354436
GradientBoostingClassifier,64.64866995811462,0.815375,0.7842624723962324,0.8701,0.8249543719926995,0.90343559125,0.811,0.778374507697816,0.8696,0.8214623087096165,0.8964149399999999
AdaBoostClassifier,15.867100954055786,0.754375,0.7145447644751823,0.8472,0.7752384874064924,0.82177175875,0.756,0.7159244264507423,0.8488,0.7767203513909224,0.8235524999999999
MLPClassifier,239.58779859542847,1.0,1.0,1.0,1.0,1.0,0.8733,0.871295006962403,0.876,0.8736411688441209,0.9402569399999999
