Model,Fit_Time_sec,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_Roc_auc,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_Roc_auc
LogisticRegression,1.6790611743927002,0.732545,0.7324168354232965,0.7328188478770858,0.7326174310768143,0.7982600180940288,0.73246,0.7323617522911208,0.7326771876940227,0.7325099385982392,0.7982217015924002
SGDClassifier,9.132130146026611,0.59388,0.8413641638518248,0.37473928940976664,0.37915424178355955,0.738907958883719,0.59316,0.8382102385313521,0.37363742565059915,0.3783768355655919,0.7397881707374343
LinearSVC,0.757291316986084,0.7325,0.732593061218831,0.732298514912135,0.7324451924590901,0.7981727395046085,0.7325200000000001,0.7326943619310724,0.7321566655591344,0.7324145605542318,0.7981356598026814
MultinomialNB,0.10776519775390625,0.7300949999999999,0.7198689256415071,0.7533493455663689,0.736228413575092,0.7956841889653307,0.73026,0.7200088080608504,0.7535549550334758,0.7363972708702132,0.7956641926198564
ComplementNB,0.10232210159301758,0.73011,0.7198940798951167,0.7533398419357882,0.7362369348717459,0.7956841889653307,0.7302,0.7198920396417223,0.7536338010163062,0.7363740802163363,0.7956641926198564
BernoulliNB,0.13387322425842285,0.52516,0.9078994373916563,0.05600020463050191,0.10549321578912083,0.5315980526406794,0.5251600000000001,0.9077145935670187,0.056003292602909274,0.10549373965598725,0.5315985545188269
DecisionTreeClassifier,1.642516851425171,0.99587,0.9998487855220318,0.9918897963375741,0.9958533624728061,0.9999658129592897,0.64368,0.6446474736769694,0.6403511074881074,0.6424775410817081,0.6445361838757089
RandomForestClassifier,60.868730306625366,0.9958349999999999,0.9956910762799248,0.9959799496955402,0.9958354827188141,0.9999359536747411,0.7001999999999999,0.7065217095426432,0.6849147926694583,0.6955453583921191,0.7683682646614517
ExtraTreesClassifier,43.11223793029785,0.99587,0.9998487855220318,0.9918897963375741,0.9958533624728061,0.9999658129592897,0.6847000000000001,0.6896662139349905,0.6716748132880308,0.6805390242570208,0.7474238736474705
GradientBoostingClassifier,32.64738202095032,0.73719,0.7455370795299185,0.7202051706484344,0.7326410812745295,0.8140377591553902,0.7340199999999999,0.7423052494566446,0.7170080356101828,0.7294160846696037,0.8088923093047254
AdaBoostClassifier,8.117591142654419,0.72761,0.7302640854880442,0.7220038377140445,0.7260611960850069,0.7979984672110637,0.7262200000000001,0.7288450317880931,0.7208249310368494,0.7247405349764886,0.7956130300622827
MLPClassifier,41.019046783447266,0.71675,0.7325063174886972,0.7172291578180741,0.7102509779561702,0.7958048981001247,0.71426,0.7308392137181281,0.7140820266805801,0.7077870779447267,0.7959649272827369
