Model,Fit_Time_sec,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_Roc_auc,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_Roc_auc
LogisticRegression,2.544790744781494,0.732625,0.7325668582854287,0.73275,0.7326584176977877,0.7983097575,0.7323,0.7328121868109841,0.7312,0.7320052057262989,0.79811988
SGDClassifier,0.834376335144043,0.6814,0.8460511255246089,0.4435,0.5819446266894108,0.7928524000000001,0.6819,0.8480673555300421,0.4432,0.5821620911598582,0.7906118
LinearSVC,0.0613858699798584,0.732425,0.7327158948685857,0.7318,0.7322576610381488,0.798218985,0.7322,0.7326653306613227,0.7312,0.731931931931932,0.79809504
MultinomialNB,0.009308338165283203,0.73015,0.7201339072214251,0.7529,0.736152529943779,0.79595437,0.73,0.7204754601226994,0.7516,0.7357086922474549,0.79463224
ComplementNB,0.010069847106933594,0.73015,0.7201339072214251,0.7529,0.736152529943779,0.79595437,0.73,0.7204754601226994,0.7516,0.7357086922474549,0.79463224
BernoulliNB,0.010976791381835938,0.524975,0.9090909090909091,0.0555,0.10461335469582018,0.5313451525,0.5259,0.9034267912772586,0.058,0.10900206728058635,0.53260802
DecisionTreeClassifier,0.22143149375915527,0.995725,0.999848752205697,0.9916,0.9957072925819004,0.9999634325,0.6434,0.6438026474127557,0.642,0.6429000600841178,0.6435011599999999
RandomForestClassifier,3.8612499237060547,0.9957,0.9958487546263879,0.99555,0.9956993549032355,0.9999253337500001,0.7046,0.711276332094176,0.6888,0.6998577524893315,0.7689891000000001
ExtraTreesClassifier,2.3806140422821045,0.995725,0.999848752205697,0.9916,0.9957072925819004,0.9999634325,0.687,0.6909722222222222,0.6766,0.6837105901374293,0.7508499000000001
GradientBoostingClassifier,4.225818872451782,0.73805,0.745564266556633,0.72275,0.7339798923530009,0.8141100450000001,0.7305,0.7387611352807126,0.7132,0.7257555713849598,0.80949598
AdaBoostClassifier,0.9563078880310059,0.729925,0.7293401825345369,0.7312,0.7302689071433922,0.79620424125,0.7239,0.7252061959364313,0.721,0.7230969812456123,0.7936194799999999
MLPClassifier,5.948310136795044,0.71435,0.6738865904112923,0.8307,0.7441214672817664,0.7979333,0.7184,0.6780241278121943,0.8318,0.7470810131129872,0.80068944
