Model,Fit_Time_sec,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_Roc_auc,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_Roc_auc
LogisticRegression,0.2721548080444336,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5
SGDClassifier,0.6810810565948486,0.5,0.5,1.0,0.6666666666666666,0.73251531125,0.5,0.5,1.0,0.6666666666666666,0.73203944
LinearSVC,0.5178284645080566,0.6674,0.6492111596398966,0.72835,0.6865073754653848,0.7332461674999999,0.6667,0.6490788767662314,0.7258,0.6852988386365783,0.7327459600000001
BernoulliNB,0.3376307487487793,0.6589,0.6518249570036309,0.6822,0.6666666666666666,0.719833785,0.6552,0.6489443378119002,0.6762,0.6622918707149853,0.72116504
DecisionTreeClassifier,37.76491045951843,1.0,1.0,1.0,1.0,1.0,0.568,0.5683829444891392,0.5652,0.5667870036101083,0.568
RandomForestClassifier,56.362630128860474,1.0,1.0,1.0,1.0,1.0,0.6885,0.6841899550517881,0.7002,0.6921024018977958,0.75791418
ExtraTreesClassifier,13.111487865447998,1.0,1.0,1.0,1.0,1.0,0.6756,0.6765178930438279,0.673,0.6747543613394826,0.74427476
GradientBoostingClassifier,946.0783598423004,0.734975,0.7300406285182829,0.7457,0.7377872319374706,0.8138766224999999,0.6983,0.6953694581280788,0.7058,0.700545905707196,0.77008144
AdaBoostClassifier,173.0109932422638,0.67645,0.6784847258749747,0.67075,0.6745951925978075,0.744992145,0.6636,0.6656541109761037,0.6574,0.6615013081102837,0.7305122400000001
MLPClassifier,1399.6285636425018,0.7501,0.7283184224940661,0.7978,0.761477522191467,0.8282959812499999,0.7442,0.7253599114064231,0.786,0.7544634286811288,0.82032282
