Model,Fit_Time_sec,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_Roc_auc,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_Roc_auc
LogisticRegression,9.821423053741455,0.9317050000000002,0.9246189192287231,0.9400492247465418,0.9322698580635475,0.9814994003802701,0.89728,0.8889659998507492,0.907959901649584,0.8983596014632038,0.9621187099487303
SGDClassifier,3.0136821269989014,0.9270949999999999,0.9165859127899472,0.9397096299198949,0.9280031988671231,0.9786444505344889,0.8966,0.884952582869758,0.9117137797534607,0.898132938505999,0.9618936324083724
LinearSVC,15.849962711334229,0.9816099999999999,0.9793287223742897,0.9839895369154574,0.9816533859730902,0.9982271258662282,0.89222,0.8867265059758234,0.8993244046054301,0.8929782024754862,0.9587252494154255
MultinomialNB,0.7905540466308594,0.8939199999999999,0.8845226944374499,0.9061407991819124,0.8952008787562077,0.9593836443076331,0.8745799999999999,0.8646488031947026,0.8882092979819074,0.8762641148485285,0.945146366566423
ComplementNB,1.0071237087249756,0.8939450000000001,0.884513656941907,0.9062111376341629,0.895230142862425,0.9593836443076331,0.87476,0.8647806745337906,0.888446905623797,0.8764483337513532,0.945146366566423
BernoulliNB,1.2813160419464111,0.88529,0.8769014832765721,0.8964201775492494,0.8865523487019529,0.9490860270733463,0.8693399999999999,0.8604036236433276,0.8817771386371668,0.8709445290680378,0.936032983428379
DecisionTreeClassifier,905.7965724468231,1.0,1.0,1.0,1.0,1.0,0.71872,0.7178005605661497,0.7209445350955898,0.7193264749287758,0.7187440253247465
RandomForestClassifier,1390.1991169452667,1.0,1.0,1.0,1.0,1.0,0.85488,0.8553303945487738,0.854296245743306,0.8547941151816024,0.9321627304654504
ExtraTreesClassifier,2038.8487634658813,1.0,1.0,1.0,1.0,1.0,0.8689599999999998,0.8679336063295287,0.8703731074864992,0.8691387334582945,0.941005450748017
GradientBoostingClassifier,2117.789358854294,0.820875,0.7894192890046028,0.8752186029142119,0.8301070225048269,0.9085137585872157,0.8077400000000001,0.7773428886052584,0.8626050149051789,0.8177388116466741,0.8948957155073234
AdaBoostClassifier,434.7612018585205,0.74779,0.7213793076118399,0.8098284176675762,0.7622760253132872,0.8245414491676417,0.7441000000000001,0.7186969957332463,0.8056194521101313,0.7586769469013191,0.8208533807325843
MLPClassifier,4106.795024633408,0.99828,0.9984998748489708,0.9980617901218072,0.9982807025521335,0.9999605634304384,0.8657,0.8654989011370532,0.8659973451114382,0.8657409451994489,0.9385412967592451
