Model,Fit_Time_sec,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_Roc_auc,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_Roc_auc
LogisticRegression,0.9719278812408447,0.9322,0.9250172091651097,0.94065,0.9327681094749368,0.9815318574999999,0.9025,0.8931431920296933,0.9144,0.9036466053957901,0.9635871599999999
SGDClassifier,0.30889463424682617,0.92655,0.9144883879117676,0.9411,0.9276033709526391,0.9783209937499999,0.9005,0.8860613071139387,0.9192,0.9023264945518799,0.9633396399999998
LinearSVC,1.727977991104126,0.98145,0.9796274158198844,0.98335,0.9814851781614932,0.9982111075,0.8954,0.8882560879811469,0.9046,0.8963535473642489,0.9600172399999999
MultinomialNB,0.04661226272583008,0.893575,0.8844068955413391,0.9055,0.8948291622402846,0.9590747725,0.8749,0.8616631294617018,0.8932,0.8771481881567318,0.9467631999999999
ComplementNB,0.0409548282623291,0.893575,0.8844068955413391,0.9055,0.8948291622402846,0.9590747725,0.8749,0.8616631294617018,0.8932,0.8771481881567318,0.9467631999999999
BernoulliNB,0.07032346725463867,0.884625,0.8776572242132653,0.89385,0.8856796056379895,0.9485162262500001,0.8717,0.8619279454722493,0.8852,0.8734089787863838,0.93725348
DecisionTreeClassifier,126.85818648338318,1.0,1.0,1.0,1.0,1.0,0.7287,0.7256759423722123,0.7354,0.7305056123969405,0.7287
RandomForestClassifier,77.7092649936676,1.0,1.0,1.0,1.0,1.0,0.8552,0.8544910179640719,0.8562,0.8553446553446553,0.9322541000000001
ExtraTreesClassifier,118.3766257762909,1.0,1.0,1.0,1.0,1.0,0.8716,0.8695306284805091,0.8744,0.8719585161547666,0.94182516
GradientBoostingClassifier,290.9742736816406,0.82195,0.7906472871716168,0.8758,0.8310480618683873,0.90795823875,0.8035,0.7742635098499909,0.8568,0.8134434634007406,0.89240308
AdaBoostClassifier,56.962526082992554,0.753275,0.7086714727085479,0.86015,0.7770976849237718,0.82903675875,0.749,0.7043663821405122,0.8582,0.7737107825459791,0.8239171
MLPClassifier,332.2868983745575,0.993575,0.9925160904056279,0.99465,0.9935818994580825,0.99978986625,0.8666,0.8612534489554592,0.874,0.867579908675799,0.9393229
