Model,Fit_Time_sec,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_Roc_auc,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_Roc_auc
LogisticRegression,1.9778995513916016,0.53147,0.32378653262518975,0.562887422515497,0.4073794895081563,0.6910822390855429,0.5276,0.3214238938053097,0.5602081665332266,0.40464085801775107,0.6887073605214115
SGDClassifier,6.269088983535767,0.5003500000000001,0.300175,0.6,0.4001554938793639,0.739081391228652,0.49860000000000004,0.2993,0.6,0.3993767887536819,0.7369719935033944
LinearSVC,8.035139799118042,0.673805,0.6584425526687009,0.7293382223412622,0.6904059786554253,0.7436713449773134,0.66964,0.6549612935330928,0.7251272669147277,0.6864652767402291,0.7415317280054603
BernoulliNB,3.0289740562438965,0.65931,0.6505298280789276,0.6884900531282823,0.6689709393277014,0.7219632090216364,0.6577200000000001,0.6492020935986667,0.686232943103635,0.6672036839471142,0.7190353465927455
DecisionTreeClassifier,274.490713596344,1.0,1.0,1.0,1.0,1.0,0.5566599999999999,0.5568695851293605,0.5549294870486416,0.5558884587414861,0.5566670714636788
RandomForestClassifier,986.3724091053009,1.0,1.0,1.0,1.0,1.0,0.6748000000000001,0.6737875165129841,0.6778142408705127,0.6757575794512738,0.7436700111229547
ExtraTreesClassifier,208.64589142799377,1.0,1.0,1.0,1.0,1.0,0.6688599999999999,0.6712822404545056,0.6618646989517316,0.6665145548117869,0.7354219124214223
GradientBoostingClassifier,6363.664707899094,0.737805,0.7336093748791066,0.7467889649526945,0.7401382118850779,0.8169625971161578,0.6931799999999999,0.6902129125530336,0.7010414635130328,0.6955495937626347,0.7642412763696808
AdaBoostClassifier,1170.1479988098145,0.67658,0.6799567025477667,0.6674989769923675,0.6735302737455067,0.7437833096577362,0.66344,0.6666167021955907,0.6545018977878716,0.6603051877522511,0.7259903346605567
MLPClassifier,15188.416323661804,0.74336,0.7351351960142228,0.762931167913485,0.7480971321658263,0.8234314530482099,0.73634,0.7283461563736775,0.7554693723792356,0.7409666804317423,0.8149288760853258
